t,x,xdot,theta,thetadot,u,theta_ref,x_hat,theta_hat
1.04,0.0844687,-0.0695385,-0.0111014,0.0793727,1.50679,0.0117463,0.0799275,-0.00402409
1.05,0.0839275,-0.0387302,-0.0106278,0.0154716,-1.17754,0.00873452,0.0853698,-0.0184253
1.06,0.0834255,-0.0616419,-0.0102546,0.0591055,-0.372371,0.00873452,0.0759229,-0.0145975
1.07,0.0827753,-0.0683931,-0.00960701,0.0704278,0.686909,0.00873452,0.0728364,-0.00771168
1.08,0.0821634,-0.0540067,-0.00905704,0.0396357,-1.0385,0.00873452,0.0791869,-0.0178016
1.09,0.0815226,-0.0741331,-0.00846894,0.0779532,1.4156,0.00873452,0.080979,-0.00274128
1.1,0.080926,-0.0452284,-0.00798787,0.0183708,1.23966,0.0137345,0.106515,-0.00310098
1.11,0.0806,-0.0199979,-0.00806451,-0.0336258,2.24937,0.0143403,0.0838812,0.00500176
1.12,0.0806264,0.0252494,-0.00886053,-0.125476,-0.276419,0.0143403,0.0775107,-0.00898734
1.13,0.0808522,0.0199156,-0.0100687,-0.116234,1.32125,0.0143403,0.0654097,0.000454723
1.14,0.0811844,0.0465244,-0.0115052,-0.171041,-0.674604,0.0143403,0.0792343,-0.0115587
1.15,0.0815832,0.0332425,-0.0130915,-0.146327,2.03144,0.0116947,0.0988995,0.00555522
1.16,0.0821198,0.0740653,-0.0149735,-0.230029,-0.878145,0.0116947,0.0775571,-0.0112444
1.17,0.0827736,0.0567183,-0.0171115,-0.197726,-0.738548,0.0116947,0.0862161,-0.0123152
1.18,0.0832687,0.0423257,-0.0189586,-0.171824,-2.63784,0.0116947,0.067428,-0.0265494
1.19,0.083431,-0.00980522,-0.0201717,-0.0710002,-3.40471,0.0116947,0.0638749,-0.0358732
1.2,0.0829971,-0.0769231,-0.0202294,0.0592482,1.34782,0.0107198,0.0963715,-0.00874425
1.21,0.082368,-0.0489137,-0.0199376,-0.000789861,-1.6353,0.0107198,0.0623356,-0.025856
1.22,0.0817205,-0.0805575,-0.0196487,0.0584931,-2.76899,0.0107198,0.0633445,-0.0353662
1.23,0.0806442,-0.134669,-0.018543,0.162541,-0.916473,0.0107198,0.0687884,-0.0264309
1.24,0.0792128,-0.151605,-0.016769,0.192309,0.633717,0.0107198,0.0816261,-0.0163872
1.25,0.0777669,-0.137607,-0.0150051,0.160578,-0.170089,0.0057198,0.0757853,-0.0180413
